id,Judul Berita,Isi Berita,Kategori Berita,Judul_Bersih,Judul_Final,Judul_Baku,Judul_Stemmed,Judul_Tokenized
466,Lantian Juan Berjaya di Putaran Keempat Trial Game Dirt 2025,,Olahraga,lantian juan berjaya putaran keempat trial game dirt,lantian juan berjaya putaran keempat trial game dirt,lantian juan berjaya putaran keempat trial game dirt,lantian juan jaya putar empat trial game dirt,"['lantian', 'juan', 'jaya', 'putar', 'empat', 'trial', 'game', 'dirt']"
467,Hasil Korea Open 2025: Tuan Rumah Rebut 2 Gelar Juara,,Olahraga,hasil korea open tuan rumah rebut gelar juara,hasil korea open tuan rumah rebut gelar juara,hasil korea open tuan rumah rebut gelar juara,hasil korea open tuan rumah rebut gelar juara,"['hasil', 'korea', 'open', 'tuan', 'rumah', 'rebut', 'gelar', 'juara']"
468,Fajar/Fikri Sudah Maksimal,,Olahraga,maksimal,maksimal,maksimal,maksimal,['maksimal']
469,Semringah Marc Marquez Rayakan Gelar MotoGP Ketujuh,,Olahraga,semringah marc marquez rayakan gelar motogp ketujuh,semringah marc marquez rayakan gelar motogp ketujuh,semringah marc marquez rayakan gelar motogp ketujuh,semringah marc marquez raya gelar motogp tujuh,"['semringah', 'marc', 'marquez', 'raya', 'gelar', 'motogp', 'tujuh']"
470,Bagnaia Selamati Marc Marquez: Tunggu Perlawananku di Musim Depan,,Olahraga,bagnaia selamati marc marquez tunggu perlawananku musim,bagnaia selamati marc marquez tunggu perlawananku musim,bagnaia selamati marc marquez tunggu perlawananku musim,bagnaia selamat marc marquez tunggu lawan musim,"['bagnaia', 'selamat', 'marc', 'marquez', 'tunggu', 'lawan', 'musim']"
471,Potret Semangat Ribuan Pelari Bikin Jakarta Jadi Ungu,,Olahraga,potret semangat ribuan pelari bikin jakarta ungu,potret semangat ribuan pelari bikin jakarta ungu,potret semangat ribuan pelari bikin jakarta ungu,potret semangat ribu lari bikin jakarta ungu,"['potret', 'semangat', 'ribu', 'lari', 'bikin', 'jakarta', 'ungu']"
472,Gelar Juara yang Sangat Berarti Bagi Jonatan Christie,,Olahraga,gelar juara jonatan christie,gelar juara jonatan christie,gelar juara jonatan christie,gelar juara jonatan christie,"['gelar', 'juara', 'jonatan', 'christie']"
473,"Video Selebrasi Marc Marquez, Sempat Bingung Pasang Plakat Juara MotoGP",,Olahraga,video selebrasi marc marquez bingung pasang plakat juara motogp,video selebrasi marc marquez bingung pasang plakat juara motogp,video selebrasi marc marquez bingung pasang plakat juara motogp,video selebrasi marc marquez bingung pasang plakat juara motogp,"['video', 'selebrasi', 'marc', 'marquez', 'bingung', 'pasang', 'plakat', 'juara', 'motogp']"
474,Gelar Juara yang Sangat Berarti Bagi Jonatan Christie,,Olahraga,gelar juara jonatan christie,gelar juara jonatan christie,gelar juara jonatan christie,gelar juara jonatan christie,"['gelar', 'juara', 'jonatan', 'christie']"
475,Erick Thohir ke Para Karyawan Kemenpora: Mau Berubah Nggak?,,Olahraga,erick thohir karyawan kemenpora berubah nggak,erick thohir karyawan kemenpora berubah nggak,erick thohir karyawan kemenpora berubah tidak,erick thohir karyawan kemenpora ubah tidak,"['erick', 'thohir', 'karyawan', 'kemenpora', 'ubah', 'tidak']"
476,Air Mata Juara Dunia Marc Marquez,,Olahraga,air mata juara dunia marc marquez,air mata juara dunia marc marquez,air mata juara dunia marc marquez,air mata juara dunia marc marquez,"['air', 'mata', 'juara', 'dunia', 'marc', 'marquez']"
477,Perjalanan Jonatan Christie Akhirnya Juara Korea Open 2025,,Olahraga,perjalanan jonatan christie juara korea open,perjalanan jonatan christie juara korea open,perjalanan jonatan christie juara korea open,jalan jonatan christie juara korea open,"['jalan', 'jonatan', 'christie', 'juara', 'korea', 'open']"
478,"Marc Marquez Kampiun 2025, Ini Daftar Juara Dunia MotoGP",,Olahraga,marc marquez kampiun daftar juara dunia motogp,marc marquez kampiun daftar juara dunia motogp,marc marquez kampiun daftar juara dunia motogp,marc marquez kampiun daftar juara dunia motogp,"['marc', 'marquez', 'kampiun', 'daftar', 'juara', 'dunia', 'motogp']"
479,Hasil Korea Open 2025: Fajar/Fikri Runner-up Usai Kalah dari Kim/Seo,,Olahraga,hasil korea open kalah,hasil korea open kalah,hasil korea open kalah,hasil korea open kalah,"['hasil', 'korea', 'open', 'kalah']"
480,Klasemen MotoGP 2025 Usai Marc Marquez Kunci Titel Juara,,Olahraga,klasemen motogp marc marquez kunci titel juara,klasemen motogp marc marquez kunci titel juara,klasemen motogp marc marquez kunci titel juara,klasemen motogp marc marquez kunci titel juara,"['klasemen', 'motogp', 'marc', 'marquez', 'kunci', 'titel', 'juara']"
481,Marc Marquez Kini Sejajar Valentino Rossi,,Olahraga,marc marquez sejajar valentino rossi,marc marquez sejajar valentino rossi,marc marquez sejajar valentino rossi,marc marquez sejajar valentino rossi,"['marc', 'marquez', 'sejajar', 'valentino', 'rossi']"
482,Hasil Korea Open 2025: Jonatan Juara Usai Kalahkan Antonsen,,Olahraga,hasil korea open jonatan juara kalahkan antonsen,hasil korea open jonatan juara kalahkan antonsen,hasil korea open jonatan juara kalahkan antonsen,hasil korea open jonatan juara kalah antonsen,"['hasil', 'korea', 'open', 'jonatan', 'juara', 'kalah', 'antonsen']"
483,Momen-momen Kunci Marc Marquez Juara Dunia MotoGP 2025 di Motegi,,Olahraga,kunci marc marquez juara dunia motogp motegi,kunci marc marquez juara dunia motogp motegi,kunci marc marquez juara dunia motogp motegi,kunci marc marquez juara dunia motogp motegi,"['kunci', 'marc', 'marquez', 'juara', 'dunia', 'motogp', 'motegi']"
484,Marc Marquez Juara Dunia MotoGP 2025!,,Olahraga,marc marquez juara dunia motogp,marc marquez juara dunia motogp,marc marquez juara dunia motogp,marc marquez juara dunia motogp,"['marc', 'marquez', 'juara', 'dunia', 'motogp']"
485,"Hasil MotoGP Jepang 2025: Marc Marquez Finis Kedua, Tetap Jadi Juara Dunia!",,Olahraga,hasil motogp jepang marc marquez finis juara dunia,hasil motogp jepang marc marquez finis juara dunia,hasil motogp jepang marc marquez finis juara dunia,hasil motogp jepang marc marquez finis juara dunia,"['hasil', 'motogp', 'jepang', 'marc', 'marquez', 'finis', 'juara', 'dunia']"
486,"MotoGP Jepang 2025: Marc Marquez Lewati Acosta, Kejar Bagnaia",,Olahraga,motogp jepang marc marquez lewati acosta kejar bagnaia,motogp jepang marc marquez lewati acosta kejar bagnaia,motogp jepang marc marquez lewati acosta kejar bagnaia,motogp jepang marc marquez lewat acosta kejar bagnaia,"['motogp', 'jepang', 'marc', 'marquez', 'lewat', 'acosta', 'kejar', 'bagnaia']"
487,"MotoGP Jepang 2025: Bagnaia Sulit Terkejar, Marquez Dibayangi Mir",,Olahraga,motogp jepang bagnaia sulit terkejar marquez dibayangi mir,motogp jepang bagnaia sulit terkejar marquez dibayangi mir,motogp jepang bagnaia sulit terkejar marquez dibayangi mir,motogp jepang bagnaia sulit kejar marquez bayang mir,"['motogp', 'jepang', 'bagnaia', 'sulit', 'kejar', 'marquez', 'bayang', 'mir']"
488,"MotoGP Jepang 2025: Bagnaia Nyaman Terdepan, Marquez Belum Menyerang",,Olahraga,motogp jepang bagnaia nyaman terdepan marquez menyerang,motogp jepang bagnaia nyaman terdepan marquez menyerang,motogp jepang bagnaia nyaman terdepan marquez menyerang,motogp jepang bagnaia nyaman depan marquez serang,"['motogp', 'jepang', 'bagnaia', 'nyaman', 'depan', 'marquez', 'serang']"
489,"MotoGP Jepang 2025: Balapan Dimulai, Bagnaia Terdepan Marquez Ketiga!",,Olahraga,motogp jepang balapan bagnaia terdepan marquez ketiga,motogp jepang balapan bagnaia terdepan marquez ketiga,motogp jepang balapan bagnaia terdepan marquez ketiga,motogp jepang balap bagnaia depan marquez tiga,"['motogp', 'jepang', 'balap', 'bagnaia', 'depan', 'marquez', 'tiga']"
490,"Link Live Streaming MotoGP Jepang 2025, Marquez Bisa Kejar Rekor Rossi?",,Olahraga,link live streaming motogp jepang marquez kejar rekor rossi,link live streaming motogp jepang marquez kejar rekor rossi,link live streaming motogp jepang marquez kejar rekor rossi,link live streaming motogp jepang marquez kejar rekor rossi,"['link', 'live', 'streaming', 'motogp', 'jepang', 'marquez', 'kejar', 'rekor', 'rossi']"
491,Jadwal MotoGP Jepang 2025: Marc Marquez di Ambang Juara Hari Ini!,,Olahraga,jadwal motogp jepang marc marquez ambang juara,jadwal motogp jepang marc marquez ambang juara,jadwal motogp jepang marc marquez ambang juara,jadwal motogp jepang marc marquez ambang juara,"['jadwal', 'motogp', 'jepang', 'marc', 'marquez', 'ambang', 'juara']"
492,Jadwal Final Korea Open 2025: RI Berpeluang Raih 2 Gelar,,Olahraga,jadwal final korea open ri berpeluang raih gelar,jadwal final korea open ri berpeluang raih gelar,jadwal final korea open ri berpeluang raih gelar,jadwal final korea open ri peluang raih gelar,"['jadwal', 'final', 'korea', 'open', 'ri', 'peluang', 'raih', 'gelar']"
493,Video: Skenario Marc Marquez Kunci Gelar Juara Dunia di Jepang,,Olahraga,video skenario marc marquez kunci gelar juara dunia jepang,video skenario marc marquez kunci gelar juara dunia jepang,video skenario marc marquez kunci gelar juara dunia jepang,video skenario marc marquez kunci gelar juara dunia jepang,"['video', 'skenario', 'marc', 'marquez', 'kunci', 'gelar', 'juara', 'dunia', 'jepang']"
494,WEC 2025: Sean dan United Autosports 95 Start Kedua di Fuji,,Olahraga,wec sean united autosports start fuji,wec sean united autosports start fuji,wec sean united autosports start fuji,wec sean united autosports start fuji,"['wec', 'sean', 'united', 'autosports', 'start', 'fuji']"
495,MotoGP 2025: Alex Marquez Sadar Susah Bersaing di Motegi,,Olahraga,motogp alex marquez sadar susah bersaing motegi,motogp alex marquez sadar susah bersaing motegi,motogp alex marquez sadar susah bersaing motegi,motogp alex marquez sadar susah saing motegi,"['motogp', 'alex', 'marquez', 'sadar', 'susah', 'saing', 'motegi']"
496,Korea Open 2025: Tekad Juara Fajar/Fikri,,Olahraga,korea open tekad juara,korea open tekad juara,korea open tekad juara,korea open tekad juara,"['korea', 'open', 'tekad', 'juara']"
497,MotoGP 2025: Bagnaia Merasa Kembali ke Performa Terbaik,,Olahraga,motogp bagnaia performa terbaik,motogp bagnaia performa terbaik,motogp bagnaia performa terbaik,motogp bagnaia performa baik,"['motogp', 'bagnaia', 'performa', 'baik']"
498,Agresifnya Alwi Bikin Kaget Jonatan Christie,,Olahraga,agresifnya alwi bikin kaget jonatan christie,agresifnya alwi bikin kaget jonatan christie,agresifnya alwi bikin kaget jonatan christie,agresif alwi bikin kaget jonatan christie,"['agresif', 'alwi', 'bikin', 'kaget', 'jonatan', 'christie']"
499,Besok Marc Marquez Samai Valentino Rossi?,,Olahraga,besok marc marquez samai valentino rossi,besok marc marquez samai valentino rossi,besok marc marquez samai valentino rossi,besok marc marquez sama valentino rossi,"['besok', 'marc', 'marquez', 'sama', 'valentino', 'rossi']"
500,Video: Bagnaia Pemenang Sprint Race MotoGP Jepang 2025,,Olahraga,video bagnaia pemenang sprint race motogp jepang,video bagnaia pemenang sprint race motogp jepang,video bagnaia pemenang sprint race motogp jepang,video bagnaia menang sprint race motogp jepang,"['video', 'bagnaia', 'menang', 'sprint', 'race', 'motogp', 'jepang']"
501,Hasil Korea Open 2025: Putri Dikalahkan Akane Yamaguchi di Semifinal,,Olahraga,hasil korea open putri dikalahkan akane yamaguchi semifinal,hasil korea open putri dikalahkan akane yamaguchi semifinal,hasil korea open putri dikalahkan akane yamaguchi semifinal,hasil korea open putri kalah akane yamaguchi semifinal,"['hasil', 'korea', 'open', 'putri', 'kalah', 'akane', 'yamaguchi', 'semifinal']"
502,Hasil Korea Open 2025: Fajar/Fikri Tembus Final,,Olahraga,hasil korea open tembus final,hasil korea open tembus final,hasil korea open tembus final,hasil korea open tembus final,"['hasil', 'korea', 'open', 'tembus', 'final']"
503,Skenario Marc Marquez Juara Dunia MotoGP 2025 di Motegi Besok,,Olahraga,skenario marc marquez juara dunia motogp motegi besok,skenario marc marquez juara dunia motogp motegi besok,skenario marc marquez juara dunia motogp motegi besok,skenario marc marquez juara dunia motogp motegi besok,"['skenario', 'marc', 'marquez', 'juara', 'dunia', 'motogp', 'motegi', 'besok']"
504,"Besok, Marc Marquez Bisa Jadi Juara Dunia MotoGP 2025",,Olahraga,besok marc marquez juara dunia motogp,besok marc marquez juara dunia motogp,besok marc marquez juara dunia motogp,besok marc marquez juara dunia motogp,"['besok', 'marc', 'marquez', 'juara', 'dunia', 'motogp']"
505,Klasemen MotoGP 2025: Marc Marquez di Ambang Gelar Juara Dunia!,,Olahraga,klasemen motogp marc marquez ambang gelar juara dunia,klasemen motogp marc marquez ambang gelar juara dunia,klasemen motogp marc marquez ambang gelar juara dunia,klasemen motogp marc marquez ambang gelar juara dunia,"['klasemen', 'motogp', 'marc', 'marquez', 'ambang', 'gelar', 'juara', 'dunia']"
506,Hasil Sprint Race MotoGP Jepang 2025: Bagnaia Pemenangnya!,,Olahraga,hasil sprint race motogp jepang bagnaia pemenangnya,hasil sprint race motogp jepang bagnaia pemenangnya,hasil sprint race motogp jepang bagnaia pemenangnya,hasil sprint race motogp jepang bagnaia menang,"['hasil', 'sprint', 'race', 'motogp', 'jepang', 'bagnaia', 'menang']"
507,"MotoGP Jepang: Sprint Race Start, Martin-Bezzecchi Langsung Out",,Olahraga,motogp jepang sprint race start langsung out,motogp jepang sprint race start langsung out,motogp jepang sprint race start langsung out,motogp jepang sprint race start langsung out,"['motogp', 'jepang', 'sprint', 'race', 'start', 'langsung', 'out']"
508,"Hasil Korea Open 2025: Sengit, Jonatan ke Final usai Kalahkan Alwi!",,Olahraga,hasil korea open sengit jonatan final kalahkan alwi,hasil korea open sengit jonatan final kalahkan alwi,hasil korea open sengit jonatan final kalahkan alwi,hasil korea open sengit jonatan final kalah alwi,"['hasil', 'korea', 'open', 'sengit', 'jonatan', 'final', 'kalah', 'alwi']"
509,Jadwal MotoGP Jepang 2025: Sprint Race Hari Sabtu Pukul 13.00 WIB,,Olahraga,jadwal motogp jepang sprint race sabtu wib,jadwal motogp jepang sprint race sabtu wib,jadwal motogp jepang sprint race sabtu wib,jadwal motogp jepang sprint race sabtu wib,"['jadwal', 'motogp', 'jepang', 'sprint', 'race', 'sabtu', 'wib']"
510,Kualifikasi MotoGP Jepang 2025: Pole Position Milik Bagnaia,,Olahraga,kualifikasi motogp jepang pole position milik bagnaia,kualifikasi motogp jepang pole position milik bagnaia,kualifikasi motogp jepang pole position milik bagnaia,kualifikasi motogp jepang pole position milik bagnaia,"['kualifikasi', 'motogp', 'jepang', 'pole', 'position', 'milik', 'bagnaia']"
511,Pedro Acosta Kuasai FP2 MotoGP Jepang 2025,,Olahraga,pedro acosta kuasai motogp jepang,pedro acosta kuasai motogp jepang,pedro acosta kuasai motogp jepang,pedro acosta kuasa motogp jepang,"['pedro', 'acosta', 'kuasa', 'motogp', 'jepang']"
512,Jadwal Korea Open 2025: 5 Wakil Indonesia di Semifinal,,Olahraga,jadwal korea open wakil indonesia semifinal,jadwal korea open wakil indonesia semifinal,jadwal korea open wakil indonesia semifinal,jadwal korea open wakil indonesia semifinal,"['jadwal', 'korea', 'open', 'wakil', 'indonesia', 'semifinal']"
513,Video: Pecah Rekor! Aksi Skaters Brasil Meluncur dari Gedung 22 Lantai,,Olahraga,video pecah rekor aksi skaters brasil meluncur gedung lantai,video pecah rekor aksi skaters brasil meluncur gedung lantai,video pecah rekor aksi skaters brasil meluncur gedung lantai,video pecah rekor aksi skaters brasil luncur gedung lantai,"['video', 'pecah', 'rekor', 'aksi', 'skaters', 'brasil', 'luncur', 'gedung', 'lantai']"
514,Makin Rame! Kumpul Lagi Bareng Komunitas Padel Hits Jakarta di Padel Connect,,Olahraga,rame kumpul bareng komunitas padel hits jakarta padel connect,rame kumpul bareng komunitas padel hits jakarta padel connect,rame kumpul bareng komunitas padel hits jakarta padel connect,rame kumpul bareng komunitas padel hits jakarta padel connect,"['rame', 'kumpul', 'bareng', 'komunitas', 'padel', 'hits', 'jakarta', 'padel', 'connect']"
515,"Langit Telomoyo Jadi Arena Adu Terbang, 34 Atlet Gantole Unjuk Gigi",,Olahraga,langit telomoyo arena adu terbang atlet gantole unjuk gigi,langit telomoyo arena adu terbang atlet gantole unjuk gigi,langit telomoyo arena adu terbang atlet gantole unjuk gigi,langit telomoyo arena adu terbang atlet gantole unjuk gigi,"['langit', 'telomoyo', 'arena', 'adu', 'terbang', 'atlet', 'gantole', 'unjuk', 'gigi']"
516,WEC 2025: Dua Misi United Autosports 95 di Sesi FP 6 Hours of Fuji,,Olahraga,wec misi united autosports sesi fp hours of fuji,wec misi united autosports sesi fp hours of fuji,wec misi united autosports sesi fp hours of fuji,wec misi united autosports sesi fp hours of fuji,"['wec', 'misi', 'united', 'autosports', 'sesi', 'fp', 'hours', 'of', 'fuji']"
517,"Korea Open 2025: Jumpa Akane Lagi, Putri Bertekad 'Pecah Telur'",,Olahraga,korea open jumpa akane putri bertekad telur,korea open jumpa akane putri bertekad telur,korea open jumpa akane putri bertekad telur,korea open jumpa akane putri tekad telur,"['korea', 'open', 'jumpa', 'akane', 'putri', 'tekad', 'telur']"
518,Korea Open 2025: Alwi Wujudkan Mimpi Tanding Lawan Jonatan,,Olahraga,korea open alwi wujudkan mimpi tanding lawan jonatan,korea open alwi wujudkan mimpi tanding lawan jonatan,korea open alwi wujudkan mimpi tanding lawan jonatan,korea open alwi wujud mimpi tanding lawan jonatan,"['korea', 'open', 'alwi', 'wujud', 'mimpi', 'tanding', 'lawan', 'jonatan']"
519,"Disebut GOAT MotoGP, Marc Marquez Menolak!",,Olahraga,goat motogp marc marquez menolak,goat motogp marc marquez menolak,goat motogp marc marquez menolak,goat motogp marc marquez tolak,"['goat', 'motogp', 'marc', 'marquez', 'tolak']"
520,"Hasil Korea Open 2025: Putri Menang, Indonesia Kirim 5 Wakil ke Semifinal",,Olahraga,hasil korea open putri menang indonesia kirim wakil semifinal,hasil korea open putri menang indonesia kirim wakil semifinal,hasil korea open putri menang indonesia kirim wakil semifinal,hasil korea open putri menang indonesia kirim wakil semifinal,"['hasil', 'korea', 'open', 'putri', 'menang', 'indonesia', 'kirim', 'wakil', 'semifinal']"
521,"Hasil Korea Open 2025: Alwi Menang Comeback, Tantang Jonatan di Semifinal",,Olahraga,hasil korea open alwi menang comeback tantang jonatan semifinal,hasil korea open alwi menang comeback tantang jonatan semifinal,hasil korea open alwi menang comeback tantang jonatan semifinal,hasil korea open alwi menang comeback tantang jonatan semifinal,"['hasil', 'korea', 'open', 'alwi', 'menang', 'comeback', 'tantang', 'jonatan', 'semifinal']"
522,Hasil Korea Open 2025: Jonatan Melaju Mulus ke Semifinal,,Olahraga,hasil korea open jonatan melaju mulus semifinal,hasil korea open jonatan melaju mulus semifinal,hasil korea open jonatan melaju mulus semifinal,hasil korea open jonatan laju mulus semifinal,"['hasil', 'korea', 'open', 'jonatan', 'laju', 'mulus', 'semifinal']"
523,Hasil Practice MotoGP Jepang 2025: Bezzecchi Tercepat!,,Olahraga,hasil practice motogp jepang bezzecchi tercepat,hasil practice motogp jepang bezzecchi tercepat,hasil practice motogp jepang bezzecchi tercepat,hasil practice motogp jepang bezzecchi cepat,"['hasil', 'practice', 'motogp', 'jepang', 'bezzecchi', 'cepat']"
524,Hasil Korea Open 2025: Fajar/Fikri Singkirkan Wakil Tuan Rumah,,Olahraga,hasil korea open singkirkan wakil tuan rumah,hasil korea open singkirkan wakil tuan rumah,hasil korea open singkirkan wakil tuan rumah,hasil korea open singkir wakil tuan rumah,"['hasil', 'korea', 'open', 'singkir', 'wakil', 'tuan', 'rumah']"
525,Hasil Korea Open 2025: Amri/Nita Tembus Semifinal,,Olahraga,hasil korea open tembus semifinal,hasil korea open tembus semifinal,hasil korea open tembus semifinal,hasil korea open tembus semifinal,"['hasil', 'korea', 'open', 'tembus', 'semifinal']"
526,Atlet Gimnastik Muda Indonesia Naufal Meninggal Dunia di Rusia,,Olahraga,atlet gimnastik muda indonesia naufal meninggal dunia rusia,atlet gimnastik muda indonesia naufal meninggal dunia rusia,atlet gimnastik muda indonesia naufal meninggal dunia rusia,atlet gimnastik muda indonesia naufal tinggal dunia rusia,"['atlet', 'gimnastik', 'muda', 'indonesia', 'naufal', 'tinggal', 'dunia', 'rusia']"
